Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
Fractal,cuda-opt,2,861.036438,859.378174,859.929,866.578796,27.660801,448.298
Fractal,cuda-opt,4,159.533981,158.658432,158.991,169.734589,163.567719,165.944
Fractal,cuda-opt,8,40.153538,39.445438,39.8527,50.473793,44.169281,48.8226
Fractal,cuda-opt,16,24.1712,23.786079,24.0381,34.63184,28.579647,32.7942
Fractal,cuda-opt,32,23.232897,22.575647,22.9682,33.506527,27.660801,31.5072
Fractal,cuda-opt-dp-bf,2,862.044006,859.250488,860.569,871.15271,27.487808,449.648
Fractal,cuda-opt-dp-bf,4,159.534943,158.824448,158.969,169.826233,163.522461,166.17
Fractal,cuda-opt-dp-bf,8,39.853695,39.464897,39.6596,50.124863,44.317345,47.4277
Fractal,cuda-opt-dp-bf,16,24.225409,23.663904,23.8953,34.353825,28.43696,30.9916
Fractal,cuda-opt-dp-bf,32,23.328833,22.692575,22.9966,33.834049,27.487808,32.1746
Fractal,cuda-opt-nodp,2,848.664124,840.672241,844.24,856.402161,24.183968,439.199
Fractal,cuda-opt-nodp,4,154.731674,149.945755,151.781,164.305115,154.658279,158.797
Fractal,cuda-opt-nodp,8,35.460255,33.753345,34.7976,45.462528,38.695103,42.8313
Fractal,cuda-opt-nodp,16,21.37936,20.163361,20.8654,31.711712,24.908575,29.3047
Fractal,cuda-opt-nodp,32,20.176992,19.406528,19.8003,30.32272,24.183968,27.964
Synthetic,cuda-basic,2,3463.492432,3455.675781,3458.49,3527.018799,81.985214,1811.99
Synthetic,cuda-basic,4,704.115295,697.589722,700.287,786.798157,748.836731,765.19
Synthetic,cuda-basic,8,118.145149,117.630882,117.823,218.76973,167.855621,182.764
Synthetic,cuda-basic,16,39.541634,39.348289,39.4618,132.84848,89.653053,108.28
Synthetic,cuda-basic,32,32.67683,31.814592,32.2113,133.401337,81.985214,110.671
Synthetic,cuda-basic-4,2,856.445801,852.544495,854.468,879.270996,28.796,454.139
Synthetic,cuda-basic-4,4,147.586884,147.334915,147.435,174.267548,161.784409,163.366
Synthetic,cuda-basic-4,8,26.879456,26.639648,26.76,55.407616,41.130592,49.649
Synthetic,cuda-basic-4,16,13.069664,12.91936,12.9777,41.526527,27.398624,34.2069
