Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
zord-lss,cuda-opt-dp-bf,8,39.763969,39.359104,39.5896,50.013374,44.108223,46.7546
zord-lss,cuda-opt-dp-bf,16,24.104864,23.729313,23.8754,34.278687,28.561249,31.9137
zord-lss,cuda-opt-dp-bf,32,23.193184,22.589409,22.8294,33.099327,27.320480,29.0251
zord-lss,cuda-opt-nodp,2,847.055054,840.277649,843.917,854.638306,24.212896,438.507
zord-lss,cuda-opt-nodp,4,153.909180,149.842300,151.984,164.088318,154.612839,159.523
zord-lss,cuda-opt-nodp,8,35.510338,33.645664,34.8209,45.903328,38.448193,43.3755
zord-lss,cuda-opt-nodp,16,21.190592,20.094751,20.7769,31.549473,24.880512,28.6123
zord-lss,cuda-opt-nodp,32,20.039871,19.292095,19.6862,30.422592,24.212896,26.8094
zord-lss,cuda-basic,2,3454.708496,3448.908691,3451.62,3519.982178,82.145348,1806.2
zord-lss,cuda-basic,4,706.274414,696.771851,700.138,801.912781,748.098450,765.094
zord-lss,cuda-basic,8,117.916000,117.149696,117.298,218.275009,167.465881,175.262
zord-lss,cuda-basic,16,39.737152,39.230946,39.4718,140.156860,89.447426,120.391
zord-lss,cuda-basic,32,32.505470,31.749599,32.149,132.658630,82.145348,102.857
zord-lss,cuda-basic-4,2,855.567261,850.932007,853.606,882.710388,28.818815,453.138
zord-lss,cuda-basic-4,4,147.648636,146.901535,147.251,176.083160,161.319641,171.082
zord-lss,cuda-basic-4,8,26.884577,26.527008,26.6696,55.423073,40.984863,48.0501
zord-lss,cuda-basic-4,16,13.078720,12.862624,12.962,41.589054,27.386145,35.7003
zord-lss,cuda-basic-4,32,14.578816,14.311200,14.4229,43.249889,28.818815,35.2493
zord-lss,cuda-opt,2,860.904602,857.056763,858.674,885.119568,28.916800,456.658
zord-lss,cuda-opt,4,147.883392,147.224167,147.4,176.334824,161.634842,167.759
zord-lss,cuda-opt,8,25.430271,25.086687,25.2258,54.213921,39.538113,46.0031
zord-lss,cuda-opt,16,12.322080,12.088864,12.2068,40.930496,26.575520,35.335
zord-lss,cuda-opt,32,14.594208,14.380608,14.4848,43.151394,28.916800,38.2796
zord-lss,cuda-opt-dp-bf,2,855.915466,852.681519,854.69,877.732178,28.259104,453.4
zord-lss,cuda-opt-dp-bf,4,145.881927,144.936127,145.409,174.373764,159.314651,169.234
zord-lss,cuda-opt-dp-bf,8,25.227455,24.561344,24.7472,53.683743,39.077057,44.1037
zord-lss,cuda-opt-dp-bf,16,12.978112,12.257568,12.6022,41.464161,26.348448,33.5917
zord-lss,cuda-opt-dp-bf,32,14.050432,13.753376,13.9192,42.674881,28.259104,35.6557
zord-lss,cuda-opt-nodp,2,868.885559,861.779358,865.521,888.060791,30.271263,458.477
zord-lss,cuda-opt-nodp,4,143.949051,140.848633,142.445,172.331161,155.347748,164.479
